org_id,org_name,industry,location,contact_person,contact_phone,contact_email,required_domains,required_skills,offered_stipend,duration_months,positions,preferred_degree,remote_allowed,description
O012,Info Studios 78,FinTech,Delhi,Ritika Iyer,7941843368,hr12@infostudios78.com,Computer Vision;Web Development;Embedded Systems;UI/UX,TensorFlow;Pandas;PowerBI;SQL,Unpaid,2,8,B.Sc,False,"Info Studios 78 is looking for interns in Computer Vision, Web Development, Embedded Systems, UI/UX. Good for hands-on projects."
O013,Works Works 10,FinTech,Hyderabad,Swati Verma,7428860505,hr13@worksworks10.com,Mechanical Design;Digital Marketing,Docker;Java;Django;Flask;Verilog;React,"₹20,000 - ₹40,000",1,1,B.Tech,True,"Works Works 10 is looking for interns in Mechanical Design, Digital Marketing. Good for hands-on projects."
O014,Next Innovations 47,Automotive,Kolkata,Kajal Saxena,9062715312,hr14@nextinnovations47.com,Blockchain;Computer Vision,C++;Docker;PowerBI;PyTorch;Django,"₹20,000 - ₹40,000",6,7,Any,True,"Next Innovations 47 is looking for interns in Blockchain, Computer Vision. Good for hands-on projects."
O015,Labs Systems 34,EdTech,Mumbai,Arjun Mehta,8808735437,hr15@labssystems34.com,UI/UX;Data Science,NumPy;Verilog;Flask;C++,Unpaid,3,8,Any,True,"Labs Systems 34 is looking for interns in UI/UX, Data Science. Good for hands-on projects."
O016,Tech Systems 48,Consulting,Ahmedabad,Mohit Singh,8492074926,hr16@techsystems48.com,Finance;Biotech;Digital Marketing;DevOps,Linux;Node.js;Android;SQL;CSS;Azure;PyTorch,"₹40,000+",6,10,M.Tech,True,"Tech Systems 48 is looking for interns in Finance, Biotech, Digital Marketing, DevOps. Good for hands-on projects."
O017,Works Systems 14,EdTech,Mumbai,Simran Iyer,8993231234,hr17@workssystems14.com,UI/UX;Digital Marketing,C++;GCP;JavaScript;Figma;React;Keras;Flutter,Unpaid,6,7,MCA,True,"Works Systems 14 is looking for interns in UI/UX, Digital Marketing. Good for hands-on projects."
O018,Solutions Labs 28,EdTech,Gurgaon,Sonia Mehta,7935953828,hr18@solutionslabs28.com,DevOps,SolidWorks;GCP;Flask,"₹5,000 - ₹10,000",12,10,B.Sc,False,Solutions Labs 28 is looking for interns in DevOps. Good for hands-on projects.
O019,Tech Systems 19,Automotive,Ahmedabad,Simran Reddy,7264186965,hr19@techsystems19.com,Machine Learning;Cybersecurity;Web Development;Mechanical Design,Django;SQL;Keras;Flutter;Android;TensorFlow,Unpaid,3,4,MCA,False,"Tech Systems 19 is looking for interns in Machine Learning, Cybersecurity, Web Development, Mechanical Design. Good for hands-on projects."
O020,Next Innovations 31,Consulting,Hyderabad,Ritika Iyer,8002730086,hr20@nextinnovations31.com,Digital Marketing;Machine Learning;Data Science;Mobile App,PowerBI;Keras;React;Node.js;MATLAB;Django,"₹40,000+",3,1,B.Tech,True,"Next Innovations 31 is looking for interns in Digital Marketing, Machine Learning, Data Science, Mobile App. Good for hands-on projects."
O021,Dynamics Systems 8,Consulting,Jaipur,Yash Singh,8915076283,hr21@dynamicssystems8.com,UI/UX;Embedded Systems;Data Science;NLP,CSS;JavaScript;Tableau;Kubernetes,"₹20,000 - ₹40,000",12,5,M.Tech,False,"Dynamics Systems 8 is looking for interns in UI/UX, Embedded Systems, Data Science, NLP. Good for hands-on projects."
O022,Tech Labs 58,Healthcare,Kolkata,Simran Chopra,7292508177,hr22@techlabs58.com,Data Science;IoT;Machine Learning;Blockchain,Azure;R;Excel,"₹10,000 - ₹20,000",1,4,M.Tech,True,"Tech Labs 58 is looking for interns in Data Science, IoT, Machine Learning, Blockchain. Good for hands-on projects."
O023,Edge Innovations 12,Healthcare,Pune,Priya Patel,9561781703,hr23@edgeinnovations12.com,Mobile App;Machine Learning,TensorFlow;Python;AWS;Flask;Tableau;PowerBI;Pandas,"₹5,000 - ₹10,000",12,6,MCA,True,"Edge Innovations 12 is looking for interns in Mobile App, Machine Learning. Good for hands-on projects."
O024,Edge Systems 74,Manufacturing,Kolkata,Arjun Jain,9718444902,hr24@edgesystems74.com,Data Science;Embedded Systems;Digital Marketing,PowerBI;Java;Django;Docker;CSS,"₹10,000 - ₹20,000",1,4,M.Tech,False,"Edge Systems 74 is looking for interns in Data Science, Embedded Systems, Digital Marketing. Good for hands-on projects."
O025,Systems Ventures 14,Automotive,Noida,Isha Kumar,9778221021,hr25@systemsventures14.com,Biotech;Civil Engineering;IoT;Mobile App,HTML;R;GCP;TensorFlow,"₹40,000+",12,6,Any,False,"Systems Ventures 14 is looking for interns in Biotech, Civil Engineering, IoT, Mobile App. Good for hands-on projects."
O026,Edge Innovations 98,Automotive,Chennai,Ritika Joshi,9182856053,hr26@edgeinnovations98.com,Web Development;Mechanical Design;Civil Engineering;UI/UX,Flask;Linux;Figma;C++;Keras;Docker,"₹20,000 - ₹40,000",2,7,B.Tech,True,"Edge Innovations 98 is looking for interns in Web Development, Mechanical Design, Civil Engineering, UI/UX. Good for hands-on projects."
O027,Works Ventures 1,Automotive,Gurgaon,Vihaan Singh,7223552165,hr27@worksventures1.com,Computer Vision,Kubernetes;Django;HTML;Azure;Android;React;Verilog,Unpaid,12,3,Any,True,Works Ventures 1 is looking for interns in Computer Vision. Good for hands-on projects.
O028,Solutions Studios 73,Automotive,Noida,Simran Saxena,9898436998,hr28@solutionsstudios73.com,Civil Engineering;Web Development;IoT,Java;MATLAB;NumPy;Excel,"₹20,000 - ₹40,000",12,5,M.Tech,False,"Solutions Studios 73 is looking for interns in Civil Engineering, Web Development, IoT. Good for hands-on projects."
O029,Systems Systems 44,Media,Ahmedabad,Pooja Joshi,7114578870,hr29@systemssystems44.com,Machine Learning;NLP;IoT;Cloud Computing,Azure;Kubernetes;AWS;Figma;Django;CSS;PowerBI,Negotiable,2,1,B.Sc,False,"Systems Systems 44 is looking for interns in Machine Learning, NLP, IoT, Cloud Computing. Good for hands-on projects."
O030,Dynamics Ventures 10,Consulting,Delhi,Sonia Bose,8987682996,hr30@dynamicsventures10.com,Embedded Systems;Finance;Computer Vision;Electrical Systems,Keras;Tableau;Java;Flutter;MATLAB;HTML;Python,"₹20,000 - ₹40,000",2,4,B.Tech,False,"Dynamics Ventures 10 is looking for interns in Embedded Systems, Finance, Computer Vision, Electrical Systems. Good for hands-on projects."
O031,Systems Global 85,Manufacturing,Kolkata,Sakshi Saxena,8790012482,hr31@systemsglobal85.com,NLP;Blockchain;Biotech,R;Azure;Linux;Keras,"₹5,000 - ₹10,000",3,10,M.Tech,False,"Systems Global 85 is looking for interns in NLP, Blockchain, Biotech. Good for hands-on projects."
O032,Labs Labs 18,Energy,Gurgaon,Sonia Bhandari,8633891562,hr32@labslabs18.com,Machine Learning;Computer Vision;IoT,MATLAB;Figma;PyTorch;Excel;Keras;Node.js;Android,"₹5,000 - ₹10,000",6,10,M.Tech,True,"Labs Labs 18 is looking for interns in Machine Learning, Computer Vision, IoT. Good for hands-on projects."
O033,Works Systems 78,Telecom,Jaipur,Priya Kumar,9818655078,hr33@workssystems78.com,Digital Marketing;Civil Engineering;Computer Vision,Flutter;Tableau;Android,"₹10,000 - ₹20,000",2,1,B.Sc,True,"Works Systems 78 is looking for interns in Digital Marketing, Civil Engineering, Computer Vision. Good for hands-on projects."
O034,Core Global 87,E-commerce,Ahmedabad,Aditya Kumar,8972038593,hr34@coreglobal87.com,Data Science;Machine Learning;NLP,Azure;iOS;Node.js;Flutter,"₹10,000 - ₹20,000",6,2,B.Sc,False,"Core Global 87 is looking for interns in Data Science, Machine Learning, NLP. Good for hands-on projects."
O035,Labs Global 28,Media,Bengaluru,Priya Saxena,9678136750,hr35@labsglobal28.com,Finance,SQL;Django;Android;Node.js;Java,"₹10,000 - ₹20,000",2,8,Any,False,Labs Global 28 is looking for interns in Finance. Good for hands-on projects.
O036,Next Global 90,Consulting,Gurgaon,Shruti Joshi,9927045238,hr36@nextglobal90.com,Digital Marketing;IoT;Embedded Systems,Docker;GCP;C++;Flutter;PowerBI,"₹20,000 - ₹40,000",6,9,B.Sc,False,"Next Global 90 is looking for interns in Digital Marketing, IoT, Embedded Systems. Good for hands-on projects."
O037,Systems Ventures 22,Healthcare,Noida,Mohit Das,7548596559,hr37@systemsventures22.com,IoT;Electrical Systems;Embedded Systems,Flask;Node.js;Docker;MATLAB;JavaScript,"₹5,000 - ₹10,000",1,1,M.Tech,True,"Systems Ventures 22 is looking for interns in IoT, Electrical Systems, Embedded Systems. Good for hands-on projects."
O038,Systems Studios 82,AgriTech,Ahmedabad,Ankit Mehta,9321551305,hr38@systemsstudios82.com,Mechanical Design;Data Science;Electrical Systems,Docker;PyTorch;Django;Android,"₹10,000 - ₹20,000",3,9,MCA,False,"Systems Studios 82 is looking for interns in Mechanical Design, Data Science, Electrical Systems. Good for hands-on projects."
O039,Core Systems 92,Research,Bengaluru,Shruti Mehta,8774620258,hr39@coresystems92.com,NLP;DevOps,React;R;Pandas;PyTorch,Negotiable,12,2,M.Tech,True,"Core Systems 92 is looking for interns in NLP, DevOps. Good for hands-on projects."
O040,Info Innovations 26,Consulting,Bengaluru,Kajal Sharma,7491060183,hr40@infoinnovations26.com,Blockchain;Mechanical Design;IoT;Cybersecurity,Linux;SolidWorks;JavaScript;TensorFlow;AWS;Scikit-learn;Keras,"₹40,000+",1,8,M.Tech,True,"Info Innovations 26 is looking for interns in Blockchain, Mechanical Design, IoT, Cybersecurity. Good for hands-on projects."
O041,Works Works 60,Manufacturing,Hyderabad,Sonia Reddy,7472629052,hr41@worksworks60.com,Electrical Systems,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,"₹5,000 - ₹10,000",6,2,M.Tech,False,Works Works 60 is looking for interns in Electrical Systems. Good for hands-on projects.
O042,Info Works 88,AgriTech,Chennai,Neha Jain,7920522299,hr42@infoworks88.com,UI/UX;IoT,Docker;Flutter;React,Negotiable,3,4,M.Tech,True,"Info Works 88 is looking for interns in UI/UX, IoT. Good for hands-on projects."
O043,Solutions Studios 84,Manufacturing,Chennai,Manisha Bhandari,7358446177,hr43@solutionsstudios84.com,Cloud Computing;IoT;Digital Marketing;DevOps,JavaScript;MATLAB;HTML;Tableau,"₹40,000+",1,3,Any,False,"Solutions Studios 84 is looking for interns in Cloud Computing, IoT, Digital Marketing, DevOps. Good for hands-on projects."
O044,Core Works 1,Healthcare,Ahmedabad,Sai Bose,9205397871,hr44@coreworks1.com,Mechanical Design;Computer Vision,R;Scikit-learn;MongoDB;SQL,Unpaid,1,3,MCA,False,"Core Works 1 is looking for interns in Mechanical Design, Computer Vision. Good for hands-on projects."
O045,Tech Systems 25,Healthcare,Mumbai,Kajal Verma,8879788897,hr45@techsystems25.com,Cybersecurity;NLP;Electrical Systems,PyTorch;Scikit-learn;Excel;Azure;C++,Unpaid,2,1,B.Sc,False,"Tech Systems 25 is looking for interns in Cybersecurity, NLP, Electrical Systems. Good for hands-on projects."
O046,Labs Works 83,FinTech,Ahmedabad,Ritika Bhandari,8171523910,hr46@labsworks83.com,Biotech;IoT,SolidWorks;JavaScript;Node.js;iOS;Django;Scikit-learn;MongoDB,Negotiable,12,4,Any,True,"Labs Works 83 is looking for interns in Biotech, IoT. Good for hands-on projects."
O047,Labs Global 74,Automotive,Noida,Aditya Jain,7971912602,hr47@labsglobal74.com,Mobile App;Cybersecurity,Flask;Linux;GCP;MongoDB,Unpaid,1,10,B.Tech,True,"Labs Global 74 is looking for interns in Mobile App, Cybersecurity. Good for hands-on projects."
O048,Info Works 52,FinTech,Bengaluru,Swati Patel,9190725873,hr48@infoworks52.com,Finance;Cybersecurity,Android;Keras;Docker,"₹20,000 - ₹40,000",3,4,M.Tech,True,"Info Works 52 is looking for interns in Finance, Cybersecurity. Good for hands-on projects."
O049,Edge Labs 86,Telecom,Hyderabad,Simran Iyer,9242114086,hr49@edgelabs86.com,Computer Vision;Web Development,Flutter;MongoDB;SQL;Android;Keras;React;Python,"₹40,000+",2,6,MCA,False,"Edge Labs 86 is looking for interns in Computer Vision, Web Development. Good for hands-on projects."
O050,Info Ventures 95,Media,Jaipur,Aarav Jain,7995297013,hr50@infoventures95.com,Mobile App;Embedded Systems;Blockchain;Cybersecurity,SolidWorks;Flutter;Verilog;AWS;SQL;Tableau,"₹5,000 - ₹10,000",2,1,B.Tech,False,"Info Ventures 95 is looking for interns in Mobile App, Embedded Systems, Blockchain, Cybersecurity. Good for hands-on projects."
O051,Solutions Global 19,Research,Mumbai,Ananya Kumar,8927387402,hr51@solutionsglobal19.com,Business Analytics,Docker;JavaScript;GCP,"₹5,000 - ₹10,000",2,3,Any,False,Solutions Global 19 is looking for interns in Business Analytics. Good for hands-on projects.
O052,Info Studios 41,EdTech,Bengaluru,Rupesh Sharma,9403010956,hr52@infostudios41.com,Biotech;Business Analytics;NLP;UI/UX,React;Verilog;Kubernetes;SolidWorks;Android,"₹20,000 - ₹40,000",2,4,MCA,False,"Info Studios 41 is looking for interns in Biotech, Business Analytics, NLP, UI/UX. Good for hands-on projects."
O053,Info Innovations 33,Research,Kolkata,Aarav Kumar,9801810306,hr53@infoinnovations33.com,Mobile App;Business Analytics,CSS;Node.js;Tableau;TensorFlow;Pandas;HTML,Unpaid,12,1,B.Sc,True,"Info Innovations 33 is looking for interns in Mobile App, Business Analytics. Good for hands-on projects."
O054,Edge Global 19,Consulting,Mumbai,Ritika Kumar,8071380671,hr54@edgeglobal19.com,Data Science;Business Analytics,MATLAB;Node.js;C++;Android,"₹10,000 - ₹20,000",12,5,B.Sc,False,"Edge Global 19 is looking for interns in Data Science, Business Analytics. Good for hands-on projects."
O055,Labs Ventures 52,Healthcare,Delhi,Mohit Jain,9096258857,hr55@labsventures52.com,UI/UX;Blockchain;Mechanical Design;Web Development,Flask;Python;MATLAB;Keras,Negotiable,2,10,M.Tech,False,"Labs Ventures 52 is looking for interns in UI/UX, Blockchain, Mechanical Design, Web Development. Good for hands-on projects."
O056,Edge Studios 56,Automotive,Kolkata,Rupesh Gupta,9591832700,hr56@edgestudios56.com,Blockchain,GCP;Docker;Django;iOS;Figma;TensorFlow,Negotiable,12,1,B.Tech,True,Edge Studios 56 is looking for interns in Blockchain. Good for hands-on projects.
O057,Tech Works 76,Research,Jaipur,Neha Kumar,8004938819,hr57@techworks76.com,Biotech;Web Development;Computer Vision,React;Flutter;PyTorch;Java,"₹10,000 - ₹20,000",12,10,Any,True,"Tech Works 76 is looking for interns in Biotech, Web Development, Computer Vision. Good for hands-on projects."
O058,Systems Labs 77,Research,Kolkata,Manisha Saxena,7731379716,hr58@systemslabs77.com,Finance;Civil Engineering;DevOps;Mobile App,AWS;Django;SQL;Pandas;Scikit-learn;PowerBI,Unpaid,6,8,M.Tech,False,"Systems Labs 77 is looking for interns in Finance, Civil Engineering, DevOps, Mobile App. Good for hands-on projects."
O059,Labs Ventures 23,Telecom,Pune,Ananya Patel,9899499197,hr59@labsventures23.com,Machine Learning,TensorFlow;Docker;MongoDB;JavaScript;Pandas,"₹20,000 - ₹40,000",1,9,Any,False,Labs Ventures 23 is looking for interns in Machine Learning. Good for hands-on projects.
O060,Solutions Global 12,Automotive,Mumbai,Rupesh Patel,7041813599,hr60@solutionsglobal12.com,Embedded Systems;Mobile App;Machine Learning;Business Analytics,Excel;PowerBI;Android,Negotiable,12,1,Any,True,"Solutions Global 12 is looking for interns in Embedded Systems, Mobile App, Machine Learning, Business Analytics. Good for hands-on projects."
