application_id,student_id,org_id,applied_on,status,matching_score,student_projects,org_required_skills,org_required_domains
A00026,S0440,O052,2026-03-07,Interview,40.0,Energy optimization dashboard,React;Verilog;Kubernetes;SolidWorks;Android,Biotech;Business Analytics;NLP;UI/UX
A00027,S0204,O012,2025-12-03,Shortlisted,25.0,Expense tracker app;E-commerce website,TensorFlow;Pandas;PowerBI;SQL,Computer Vision;Web Development;Embedded Systems;UI/UX
A00028,S0454,O039,2026-01-05,Interview,0.0,Crop yield predictor;Resume parser;Smart traffic signal system;E-commerce website,React;R;Pandas;PyTorch,NLP;DevOps
A00029,S0145,O054,2026-02-23,Applied,25.0,Virtual lab for circuits,MATLAB;Node.js;C++;Android,Data Science;Business Analytics
A00030,S0280,O016,2026-03-23,Applied,28.6,Chatbot for student queries;Resume parser;IoT-based smart irrigation;Sentiment analysis for reviews,Linux;Node.js;Android;SQL;CSS;Azure;PyTorch,Finance;Biotech;Digital Marketing;DevOps
A00031,S0314,O028,2025-09-26,Applied,0.0,Health monitoring wearable,Java;MATLAB;NumPy;Excel,Civil Engineering;Web Development;IoT
A00032,S0262,O020,2025-10-28,Applied,0.0,Sentiment analysis for reviews,PowerBI;Keras;React;Node.js;MATLAB;Django,Digital Marketing;Machine Learning;Data Science;Mobile App
A00033,S0006,O010,2026-02-10,Applied,0.0,Chatbot for student queries,Tableau;Flutter;AWS;Django;NumPy;HTML;Docker,Finance
A00034,S0198,O010,2025-10-30,Accepted,14.3,Smart traffic signal system,Tableau;Flutter;AWS;Django;NumPy;HTML;Docker,Finance
A00035,S0183,O038,2026-04-02,Applied,25.0,Predictive maintenance for machines,Docker;PyTorch;Django;Android,Mechanical Design;Data Science;Electrical Systems
A00036,S0323,O027,2025-11-29,Shortlisted,14.3,Predictive maintenance for machines;Health monitoring wearable,Kubernetes;Django;HTML;Azure;Android;React;Verilog,Computer Vision
A00037,S0065,O001,2026-01-26,Rejected,0.0,Recommendation system for courses,MATLAB;MongoDB;PyTorch;Java;Docker,Blockchain
A00038,S0492,O051,2026-04-07,Applied,0.0,Attendance app using face recognition,Docker;JavaScript;GCP,Business Analytics
A00039,S0274,O026,2026-02-03,Interview,16.7,Blockchain-based certificate verification;Energy optimization dashboard,Flask;Linux;Figma;C++;Keras;Docker,Web Development;Mechanical Design;Civil Engineering;UI/UX
A00040,S0117,O040,2025-09-30,Rejected,0.0,News summarizer,Linux;SolidWorks;JavaScript;TensorFlow;AWS;Scikit-learn;Keras,Blockchain;Mechanical Design;IoT;Cybersecurity
A00041,S0071,O017,2025-12-30,Applied,14.3,Expense tracker app;Sentiment analysis for reviews;Real-time object detection,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00042,S0386,O034,2026-01-11,Shortlisted,25.0,E-commerce website;Resume parser,Azure;iOS;Node.js;Flutter,Data Science;Machine Learning;NLP
A00043,S0035,O028,2025-09-25,Shortlisted,0.0,Expense tracker app;Resume parser;IoT-based smart irrigation,Java;MATLAB;NumPy;Excel,Civil Engineering;Web Development;IoT
A00044,S0033,O006,2025-12-05,Applied,0.0,Predictive maintenance for machines;Inventory management tool,Scikit-learn;SQL;React;Azure;Android,Digital Marketing
A00045,S0425,O008,2026-02-17,Rejected,0.0,Chatbot for student queries;Crop yield predictor,PowerBI;R;PyTorch;CSS,Mobile App;NLP
A00046,S0372,O016,2025-12-20,Interview,28.6,Attendance app using face recognition;Image classifier for plant disease,Linux;Node.js;Android;SQL;CSS;Azure;PyTorch,Finance;Biotech;Digital Marketing;DevOps
A00047,S0308,O041,2025-10-31,Accepted,0.0,Chatbot for student queries;Energy optimization dashboard;Resume parser,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,Electrical Systems
A00048,S0448,O014,2026-03-21,Applied,20.0,Expense tracker app,C++;Docker;PowerBI;PyTorch;Django,Blockchain;Computer Vision
A00049,S0120,O014,2026-01-19,Interview,20.0,Automated essay grader,C++;Docker;PowerBI;PyTorch;Django,Blockchain;Computer Vision
A00050,S0458,O001,2025-12-16,Applied,0.0,IoT-based smart irrigation,MATLAB;MongoDB;PyTorch;Java;Docker,Blockchain
A00051,S0128,O003,2025-11-24,Applied,0.0,IoT-based smart irrigation;E-commerce website;Automated essay grader,Excel;Figma;Android;Tableau,Machine Learning;Civil Engineering
A00052,S0262,O007,2025-12-31,Applied,0.0,Sentiment analysis for reviews,Android;Java;PyTorch;Azure;NumPy,DevOps;Digital Marketing;IoT;NLP
A00053,S0425,O045,2025-09-25,Rejected,0.0,Chatbot for student queries;Crop yield predictor,PyTorch;Scikit-learn;Excel;Azure;C++,Cybersecurity;NLP;Electrical Systems
A00054,S0185,O059,2025-11-30,Interview,0.0,Attendance app using face recognition,TensorFlow;Docker;MongoDB;JavaScript;Pandas,Machine Learning
A00055,S0254,O010,2025-11-26,Applied,14.3,Chatbot for student queries;Crop yield predictor,Tableau;Flutter;AWS;Django;NumPy;HTML;Docker,Finance
A00056,S0050,O028,2025-12-10,Interview,25.0,Blockchain-based certificate verification;IoT-based smart irrigation,Java;MATLAB;NumPy;Excel,Civil Engineering;Web Development;IoT
A00057,S0447,O013,2026-03-17,Applied,0.0,Real-time object detection,Docker;Java;Django;Flask;Verilog;React,Mechanical Design;Digital Marketing
A00058,S0015,O051,2026-02-12,Applied,0.0,Automated essay grader;Health monitoring wearable;Sentiment analysis for reviews,Docker;JavaScript;GCP,Business Analytics
A00059,S0433,O005,2026-01-18,Interview,0.0,E-commerce website;Crop yield predictor;Resume parser,SolidWorks;JavaScript;PyTorch;MongoDB;Java;R,UI/UX;Civil Engineering
A00060,S0248,O058,2026-03-30,Applied,0.0,Predictive maintenance for machines,AWS;Django;SQL;Pandas;Scikit-learn;PowerBI,Finance;Civil Engineering;DevOps;Mobile App
A00061,S0265,O009,2026-03-18,Applied,0.0,Blockchain-based certificate verification;Recommendation system for courses,SQL;Django;Node.js;Linux,Digital Marketing
A00062,S0276,O037,2026-03-31,Shortlisted,20.0,Real-time object detection;IoT-based smart irrigation;E-commerce website,Flask;Node.js;Docker;MATLAB;JavaScript,IoT;Electrical Systems;Embedded Systems
A00063,S0022,O035,2026-02-05,Rejected,0.0,News summarizer;Recommendation system for courses;Attendance app using face recognition;Sentiment analysis for reviews,SQL;Django;Android;Node.js;Java,Finance
A00064,S0374,O001,2025-12-31,Applied,20.0,Blockchain-based certificate verification,MATLAB;MongoDB;PyTorch;Java;Docker,Blockchain
A00065,S0283,O010,2025-10-14,Applied,0.0,Resume parser,Tableau;Flutter;AWS;Django;NumPy;HTML;Docker,Finance
A00066,S0227,O018,2026-01-03,Shortlisted,0.0,Energy optimization dashboard,SolidWorks;GCP;Flask,DevOps
A00067,S0054,O051,2025-11-16,Offered,0.0,Crop yield predictor,Docker;JavaScript;GCP,Business Analytics
A00068,S0319,O012,2025-12-29,Shortlisted,0.0,Attendance app using face recognition,TensorFlow;Pandas;PowerBI;SQL,Computer Vision;Web Development;Embedded Systems;UI/UX
A00069,S0485,O017,2026-02-06,Applied,14.3,Predictive maintenance for machines;Blockchain-based certificate verification;Attendance app using face recognition,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00070,S0340,O035,2026-02-25,Offered,0.0,Image classifier for plant disease,SQL;Django;Android;Node.js;Java,Finance
A00071,S0128,O045,2026-02-15,Applied,40.0,IoT-based smart irrigation;E-commerce website;Automated essay grader,PyTorch;Scikit-learn;Excel;Azure;C++,Cybersecurity;NLP;Electrical Systems
A00072,S0317,O036,2026-01-10,Applied,40.0,Health monitoring wearable;Expense tracker app;Virtual lab for circuits;Real-time object detection,Docker;GCP;C++;Flutter;PowerBI,Digital Marketing;IoT;Embedded Systems
A00073,S0260,O025,2026-02-12,Applied,0.0,Virtual lab for circuits;E-commerce website,HTML;R;GCP;TensorFlow,Biotech;Civil Engineering;IoT;Mobile App
A00074,S0457,O056,2025-10-13,Applied,16.7,Image classifier for plant disease;Energy optimization dashboard,GCP;Docker;Django;iOS;Figma;TensorFlow,Blockchain
A00075,S0302,O017,2025-12-09,Offered,0.0,Real-time object detection;Attendance app using face recognition;Crop yield predictor,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00076,S0026,O008,2025-10-21,Shortlisted,0.0,Resume parser;Health monitoring wearable;Crop yield predictor,PowerBI;R;PyTorch;CSS,Mobile App;NLP
A00077,S0370,O039,2026-03-12,Applied,0.0,Energy optimization dashboard;Automated essay grader;Crop yield predictor,React;R;Pandas;PyTorch,NLP;DevOps
A00078,S0433,O044,2026-04-07,Applied,25.0,E-commerce website;Crop yield predictor;Resume parser,R;Scikit-learn;MongoDB;SQL,Mechanical Design;Computer Vision
A00079,S0185,O016,2026-03-17,Rejected,28.6,Attendance app using face recognition,Linux;Node.js;Android;SQL;CSS;Azure;PyTorch,Finance;Biotech;Digital Marketing;DevOps
A00080,S0456,O045,2025-10-01,Applied,20.0,E-commerce website;Real-time object detection,PyTorch;Scikit-learn;Excel;Azure;C++,Cybersecurity;NLP;Electrical Systems
A00081,S0037,O031,2025-10-10,Applied,25.0,Virtual lab for circuits;Sentiment analysis for reviews,R;Azure;Linux;Keras,NLP;Blockchain;Biotech
A00082,S0373,O004,2025-11-17,Offered,14.3,Automated essay grader,CSS;R;SQL;Azure;Keras;Android;C++,NLP;Computer Vision;Machine Learning;Finance
A00083,S0276,O049,2026-04-05,Shortlisted,0.0,Real-time object detection;IoT-based smart irrigation;E-commerce website,Flutter;MongoDB;SQL;Android;Keras;React;Python,Computer Vision;Web Development
A00084,S0203,O014,2026-01-05,Applied,0.0,Health monitoring wearable;Energy optimization dashboard,C++;Docker;PowerBI;PyTorch;Django,Blockchain;Computer Vision
A00085,S0211,O046,2026-03-04,Applied,14.3,Inventory management tool;Energy optimization dashboard,SolidWorks;JavaScript;Node.js;iOS;Django;Scikit-learn;MongoDB,Biotech;IoT
A00086,S0264,O038,2025-11-25,Applied,0.0,Sentiment analysis for reviews,Docker;PyTorch;Django;Android,Mechanical Design;Data Science;Electrical Systems
A00087,S0307,O004,2025-12-26,Applied,14.3,Resume parser;Real-time object detection,CSS;R;SQL;Azure;Keras;Android;C++,NLP;Computer Vision;Machine Learning;Finance
A00088,S0026,O002,2026-02-19,Interview,66.7,Resume parser;Health monitoring wearable;Crop yield predictor,Flutter;TensorFlow;Node.js,Web Development
A00089,S0294,O020,2025-10-24,Applied,16.7,Expense tracker app;Resume parser;Health monitoring wearable;Crop yield predictor,PowerBI;Keras;React;Node.js;MATLAB;Django,Digital Marketing;Machine Learning;Data Science;Mobile App
A00090,S0498,O038,2025-11-23,Applied,25.0,Expense tracker app;Chatbot for student queries;Blockchain-based certificate verification,Docker;PyTorch;Django;Android,Mechanical Design;Data Science;Electrical Systems
A00091,S0151,O059,2025-12-25,Accepted,0.0,IoT-based smart irrigation;Chatbot for student queries;Predictive maintenance for machines,TensorFlow;Docker;MongoDB;JavaScript;Pandas,Machine Learning
A00092,S0350,O056,2025-11-29,Interview,16.7,Smart traffic signal system;Virtual lab for circuits;Chatbot for student queries,GCP;Docker;Django;iOS;Figma;TensorFlow,Blockchain
A00093,S0380,O056,2026-02-09,Shortlisted,16.7,E-commerce website;Virtual lab for circuits,GCP;Docker;Django;iOS;Figma;TensorFlow,Blockchain
A00094,S0221,O032,2026-01-03,Applied,0.0,Chatbot for student queries,MATLAB;Figma;PyTorch;Excel;Keras;Node.js;Android,Machine Learning;Computer Vision;IoT
A00095,S0405,O028,2025-11-26,Applied,25.0,Health monitoring wearable,Java;MATLAB;NumPy;Excel,Civil Engineering;Web Development;IoT
A00096,S0420,O051,2025-12-08,Applied,0.0,Energy optimization dashboard;Chatbot for student queries,Docker;JavaScript;GCP,Business Analytics
A00097,S0443,O024,2026-01-23,Interview,20.0,Predictive maintenance for machines,PowerBI;Java;Django;Docker;CSS,Data Science;Embedded Systems;Digital Marketing
A00098,S0175,O035,2025-09-27,Shortlisted,20.0,Attendance app using face recognition,SQL;Django;Android;Node.js;Java,Finance
A00099,S0401,O020,2026-04-04,Applied,0.0,News summarizer;Attendance app using face recognition,PowerBI;Keras;React;Node.js;MATLAB;Django,Digital Marketing;Machine Learning;Data Science;Mobile App
A00100,S0114,O013,2026-04-08,Shortlisted,0.0,Resume parser;News summarizer;Sentiment analysis for reviews;E-commerce website,Docker;Java;Django;Flask;Verilog;React,Mechanical Design;Digital Marketing
A00101,S0312,O002,2026-01-06,Applied,33.3,Attendance app using face recognition;Predictive maintenance for machines,Flutter;TensorFlow;Node.js,Web Development
A00102,S0439,O051,2025-12-23,Applied,0.0,E-commerce website,Docker;JavaScript;GCP,Business Analytics
A00103,S0208,O057,2025-12-26,Interview,0.0,Energy optimization dashboard;Sentiment analysis for reviews;Inventory management tool,React;Flutter;PyTorch;Java,Biotech;Web Development;Computer Vision
A00104,S0438,O041,2025-11-06,Interview,16.7,Smart traffic signal system,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,Electrical Systems
A00105,S0173,O045,2025-12-03,Applied,0.0,Inventory management tool;Real-time object detection;Blockchain-based certificate verification,PyTorch;Scikit-learn;Excel;Azure;C++,Cybersecurity;NLP;Electrical Systems
A00106,S0204,O041,2025-12-14,Shortlisted,0.0,Expense tracker app;E-commerce website,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,Electrical Systems
A00107,S0178,O015,2025-10-03,Applied,0.0,Inventory management tool;Crop yield predictor,NumPy;Verilog;Flask;C++,UI/UX;Data Science
A00108,S0478,O044,2026-01-06,Applied,0.0,IoT-based smart irrigation,R;Scikit-learn;MongoDB;SQL,Mechanical Design;Computer Vision
A00109,S0096,O008,2025-11-03,Applied,25.0,Resume parser,PowerBI;R;PyTorch;CSS,Mobile App;NLP
A00110,S0093,O049,2026-01-13,Applied,14.3,Blockchain-based certificate verification,Flutter;MongoDB;SQL;Android;Keras;React;Python,Computer Vision;Web Development
A00111,S0452,O031,2026-03-16,Interview,0.0,News summarizer;Virtual lab for circuits;Chatbot for student queries,R;Azure;Linux;Keras,NLP;Blockchain;Biotech
A00112,S0160,O026,2025-10-24,Interview,33.3,Health monitoring wearable,Flask;Linux;Figma;C++;Keras;Docker,Web Development;Mechanical Design;Civil Engineering;UI/UX
A00113,S0314,O005,2025-12-28,Applied,33.3,Health monitoring wearable,SolidWorks;JavaScript;PyTorch;MongoDB;Java;R,UI/UX;Civil Engineering
A00114,S0041,O012,2025-11-30,Interview,0.0,Resume parser,TensorFlow;Pandas;PowerBI;SQL,Computer Vision;Web Development;Embedded Systems;UI/UX
A00115,S0052,O006,2025-12-24,Rejected,20.0,Smart traffic signal system;News summarizer,Scikit-learn;SQL;React;Azure;Android,Digital Marketing
A00116,S0437,O033,2025-11-23,Shortlisted,33.3,Predictive maintenance for machines;Recommendation system for courses,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00117,S0265,O041,2025-12-28,Accepted,16.7,Blockchain-based certificate verification;Recommendation system for courses,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,Electrical Systems
A00118,S0004,O049,2026-02-04,Applied,14.3,Automated essay grader;News summarizer,Flutter;MongoDB;SQL;Android;Keras;React;Python,Computer Vision;Web Development
A00119,S0243,O038,2026-01-30,Accepted,0.0,Blockchain-based certificate verification;E-commerce website;Predictive maintenance for machines,Docker;PyTorch;Django;Android,Mechanical Design;Data Science;Electrical Systems
A00120,S0247,O046,2026-01-24,Accepted,0.0,Crop yield predictor,SolidWorks;JavaScript;Node.js;iOS;Django;Scikit-learn;MongoDB,Biotech;IoT
A00121,S0066,O013,2025-10-10,Applied,16.7,Virtual lab for circuits,Docker;Java;Django;Flask;Verilog;React,Mechanical Design;Digital Marketing
A00122,S0305,O057,2025-12-20,Applied,25.0,Health monitoring wearable,React;Flutter;PyTorch;Java,Biotech;Web Development;Computer Vision
A00123,S0403,O058,2025-09-23,Rejected,0.0,Smart traffic signal system,AWS;Django;SQL;Pandas;Scikit-learn;PowerBI,Finance;Civil Engineering;DevOps;Mobile App
A00124,S0140,O029,2025-10-24,Accepted,14.3,Smart traffic signal system;Expense tracker app,Azure;Kubernetes;AWS;Figma;Django;CSS;PowerBI,Machine Learning;NLP;IoT;Cloud Computing
A00125,S0210,O051,2025-11-26,Offered,0.0,Health monitoring wearable;Sentiment analysis for reviews,Docker;JavaScript;GCP,Business Analytics
A00126,S0327,O052,2026-01-06,Applied,20.0,Predictive maintenance for machines,React;Verilog;Kubernetes;SolidWorks;Android,Biotech;Business Analytics;NLP;UI/UX
A00127,S0374,O008,2025-11-01,Applied,0.0,Blockchain-based certificate verification,PowerBI;R;PyTorch;CSS,Mobile App;NLP
A00128,S0271,O017,2025-11-17,Interview,14.3,Crop yield predictor;E-commerce website;Real-time object detection,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00129,S0453,O031,2025-12-16,Applied,25.0,Sentiment analysis for reviews;Virtual lab for circuits,R;Azure;Linux;Keras,NLP;Blockchain;Biotech
A00130,S0178,O045,2026-02-17,Interview,0.0,Inventory management tool;Crop yield predictor,PyTorch;Scikit-learn;Excel;Azure;C++,Cybersecurity;NLP;Electrical Systems
A00131,S0444,O049,2026-02-03,Applied,28.6,Crop yield predictor;Image classifier for plant disease,Flutter;MongoDB;SQL;Android;Keras;React;Python,Computer Vision;Web Development
A00132,S0284,O023,2026-03-01,Applied,28.6,Predictive maintenance for machines,TensorFlow;Python;AWS;Flask;Tableau;PowerBI;Pandas,Mobile App;Machine Learning
A00133,S0136,O033,2025-11-03,Applied,0.0,Blockchain-based certificate verification;News summarizer;Predictive maintenance for machines,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00134,S0064,O043,2026-02-09,Interview,0.0,Blockchain-based certificate verification;E-commerce website,JavaScript;MATLAB;HTML;Tableau,Cloud Computing;IoT;Digital Marketing;DevOps
A00135,S0120,O033,2025-12-12,Rejected,33.3,Automated essay grader,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00136,S0186,O052,2026-03-31,Rejected,20.0,Attendance app using face recognition;Image classifier for plant disease,React;Verilog;Kubernetes;SolidWorks;Android,Biotech;Business Analytics;NLP;UI/UX
A00137,S0138,O004,2025-09-28,Interview,0.0,Health monitoring wearable,CSS;R;SQL;Azure;Keras;Android;C++,NLP;Computer Vision;Machine Learning;Finance
A00138,S0220,O017,2025-12-07,Interview,0.0,Virtual lab for circuits;Expense tracker app,C++;GCP;JavaScript;Figma;React;Keras;Flutter,UI/UX;Digital Marketing
A00139,S0147,O042,2026-01-17,Applied,0.0,Expense tracker app,Docker;Flutter;React,UI/UX;IoT
A00140,S0075,O056,2025-11-09,Offered,50.0,IoT-based smart irrigation,GCP;Docker;Django;iOS;Figma;TensorFlow,Blockchain
A00141,S0040,O008,2025-10-25,Rejected,25.0,Inventory management tool,PowerBI;R;PyTorch;CSS,Mobile App;NLP
A00142,S0079,O060,2026-03-21,Accepted,0.0,Sentiment analysis for reviews;Inventory management tool;Virtual lab for circuits,Excel;PowerBI;Android,Embedded Systems;Mobile App;Machine Learning;Business Analytics
A00143,S0147,O050,2026-02-04,Shortlisted,0.0,Expense tracker app,SolidWorks;Flutter;Verilog;AWS;SQL;Tableau,Mobile App;Embedded Systems;Blockchain;Cybersecurity
A00144,S0378,O047,2026-01-23,Interview,25.0,Real-time object detection,Flask;Linux;GCP;MongoDB,Mobile App;Cybersecurity
A00145,S0318,O047,2025-10-11,Applied,75.0,Image classifier for plant disease;Inventory management tool,Flask;Linux;GCP;MongoDB,Mobile App;Cybersecurity
A00146,S0462,O050,2025-12-30,Interview,0.0,News summarizer;Blockchain-based certificate verification,SolidWorks;Flutter;Verilog;AWS;SQL;Tableau,Mobile App;Embedded Systems;Blockchain;Cybersecurity
A00147,S0125,O043,2025-12-04,Shortlisted,0.0,Energy optimization dashboard;Sentiment analysis for reviews,JavaScript;MATLAB;HTML;Tableau,Cloud Computing;IoT;Digital Marketing;DevOps
A00148,S0348,O048,2025-11-01,Applied,33.3,Predictive maintenance for machines,Android;Keras;Docker,Finance;Cybersecurity
A00149,S0016,O013,2026-02-09,Shortlisted,16.7,Predictive maintenance for machines;News summarizer;Crop yield predictor,Docker;Java;Django;Flask;Verilog;React,Mechanical Design;Digital Marketing
A00150,S0351,O011,2025-10-08,Rejected,20.0,Inventory management tool,Flask;GCP;Python;Pandas;Azure,Mechanical Design;Finance;Blockchain
A00151,S0182,O046,2025-09-23,Interview,0.0,Virtual lab for circuits;E-commerce website;Crop yield predictor,SolidWorks;JavaScript;Node.js;iOS;Django;Scikit-learn;MongoDB,Biotech;IoT
A00152,S0032,O052,2025-10-07,Shortlisted,20.0,Inventory management tool;Smart traffic signal system,React;Verilog;Kubernetes;SolidWorks;Android,Biotech;Business Analytics;NLP;UI/UX
A00153,S0199,O016,2025-09-30,Applied,14.3,IoT-based smart irrigation;Crop yield predictor,Linux;Node.js;Android;SQL;CSS;Azure;PyTorch,Finance;Biotech;Digital Marketing;DevOps
A00154,S0366,O041,2025-11-08,Applied,0.0,Crop yield predictor;E-commerce website,AWS;Scikit-learn;Django;Azure;JavaScript;CSS,Electrical Systems
A00155,S0312,O051,2025-11-17,Applied,0.0,Attendance app using face recognition;Predictive maintenance for machines,Docker;JavaScript;GCP,Business Analytics
A00156,S0280,O033,2025-10-27,Applied,33.3,Chatbot for student queries;Resume parser;IoT-based smart irrigation;Sentiment analysis for reviews,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00157,S0458,O015,2025-12-13,Offered,50.0,IoT-based smart irrigation,NumPy;Verilog;Flask;C++,UI/UX;Data Science
A00158,S0452,O020,2025-09-23,Applied,33.3,News summarizer;Virtual lab for circuits;Chatbot for student queries,PowerBI;Keras;React;Node.js;MATLAB;Django,Digital Marketing;Machine Learning;Data Science;Mobile App
A00159,S0472,O056,2026-03-18,Interview,16.7,Automated essay grader,GCP;Docker;Django;iOS;Figma;TensorFlow,Blockchain
A00160,S0380,O007,2026-01-29,Applied,40.0,E-commerce website;Virtual lab for circuits,Android;Java;PyTorch;Azure;NumPy,DevOps;Digital Marketing;IoT;NLP
A00161,S0447,O026,2026-01-10,Applied,16.7,Real-time object detection,Flask;Linux;Figma;C++;Keras;Docker,Web Development;Mechanical Design;Civil Engineering;UI/UX
A00162,S0147,O033,2025-10-07,Offered,0.0,Expense tracker app,Flutter;Tableau;Android,Digital Marketing;Civil Engineering;Computer Vision
A00163,S0177,O012,2025-11-30,Applied,25.0,Smart traffic signal system,TensorFlow;Pandas;PowerBI;SQL,Computer Vision;Web Development;Embedded Systems;UI/UX
A00164,S0470,O043,2025-12-21,Applied,0.0,Energy optimization dashboard,JavaScript;MATLAB;HTML;Tableau,Cloud Computing;IoT;Digital Marketing;DevOps
A00165,S0219,O004,2026-02-03,Applied,14.3,Sentiment analysis for reviews,CSS;R;SQL;Azure;Keras;Android;C++,NLP;Computer Vision;Machine Learning;Finance
A00166,S0274,O057,2025-12-21,Interview,25.0,Blockchain-based certificate verification;Energy optimization dashboard,React;Flutter;PyTorch;Java,Biotech;Web Development;Computer Vision
A00167,S0244,O039,2026-02-25,Applied,25.0,Blockchain-based certificate verification;Chatbot for student queries,React;R;Pandas;PyTorch,NLP;DevOps
A00168,S0361,O051,2026-02-08,Applied,33.3,Blockchain-based certificate verification,Docker;JavaScript;GCP,Business Analytics
